,model,grouping,variable,value,context
37,All Obs,Depressed (Yes),support,170.0,best
38,All Obs,Macro Avg,support,1549.0,best
39,All Obs,Weighted Avg,support,1549.0,best
40,Obs w/ 1+ Dep Screener,Depressed (No),support,739.0,best
41,Obs w/ 1+ Dep Screener,Depressed (Yes),support,140.0,best
42,Obs w/ 1+ Dep Screener,Macro Avg,support,879.0,best
43,Obs w/ 1+ Dep Screener,Weighted Avg,support,879.0,best
44,Obs w/ 0 Dep Screener,Depressed (No),support,640.0,best
45,Obs w/ 0 Dep Screener,Depressed (Yes),support,30.0,best
46,Obs w/ 0 Dep Screener,Macro Avg,support,670.0,best
47,Obs w/ 0 Dep Screener,Weighted Avg,support,670.0,best
48,All Obs,Depressed (No),accuracy,0.8134280180761781,best
49,All Obs,Depressed (Yes),accuracy,0.8134280180761781,best
50,All Obs,Macro Avg,accuracy,0.8134280180761781,best
51,All Obs,Weighted Avg,accuracy,0.8134280180761781,best
52,Obs w/ 1+ Dep Screener,Depressed (No),accuracy,0.7178612059158134,best
53,Obs w/ 1+ Dep Screener,Depressed (Yes),accuracy,0.7178612059158134,best
54,Obs w/ 1+ Dep Screener,Macro Avg,accuracy,0.7178612059158134,best
55,Obs w/ 1+ Dep Screener,Weighted Avg,accuracy,0.7178612059158134,best
56,Obs w/ 0 Dep Screener,Depressed (No),accuracy,0.9388059701492537,best
57,Obs w/ 0 Dep Screener,Depressed (Yes),accuracy,0.9388059701492537,best
58,Obs w/ 0 Dep Screener,Macro Avg,accuracy,0.9388059701492537,best
59,Obs w/ 0 Dep Screener,Weighted Avg,accuracy,0.9388059701492537,best
0,All Obs,Depressed (No),precision,0.9362363919129082,baseline
1,All Obs,Depressed (Yes),precision,0.29277566539923955,baseline
2,All Obs,Macro Avg,precision,0.6145060286560738,baseline
3,All Obs,Weighted Avg,precision,0.8701871630454626,baseline
4,Obs w/ 1+ Dep Screener,Depressed (No),precision,0.9137645107794361,baseline
5,Obs w/ 1+ Dep Screener,Depressed (Yes),precision,0.29277566539923955,baseline
6,Obs w/ 1+ Dep Screener,Macro Avg,precision,0.6032700880893378,baseline
7,Obs w/ 1+ Dep Screener,Weighted Avg,precision,0.8212615534422014,baseline
8,Obs w/ 0 Dep Screener,Depressed (No),precision,0.9560761346998536,baseline
9,Obs w/ 0 Dep Screener,Depressed (Yes),precision,0.0,baseline
10,Obs w/ 0 Dep Screener,Macro Avg,precision,0.4780380673499268,baseline
11,Obs w/ 0 Dep Screener,Weighted Avg,precision,0.9140815753426126,baseline
12,All Obs,Depressed (No),recall,0.8661870503597122,baseline
13,All Obs,Depressed (Yes),recall,0.48427672955974843,baseline
14,All Obs,Macro Avg,recall,0.6752318899597303,baseline
15,All Obs,Weighted Avg,recall,0.8269851517107811,baseline
16,Obs w/ 1+ Dep Screener,Depressed (No),recall,0.7476255088195387,baseline
17,Obs w/ 1+ Dep Screener,Depressed (Yes),recall,0.5968992248062015,baseline
18,Obs w/ 1+ Dep Screener,Macro Avg,recall,0.6722623668128701,baseline
19,Obs w/ 1+ Dep Screener,Weighted Avg,recall,0.7251732101616628,baseline
20,Obs w/ 0 Dep Screener,Depressed (No),recall,1.0,baseline
21,Obs w/ 0 Dep Screener,Depressed (Yes),recall,0.0,baseline
22,Obs w/ 0 Dep Screener,Macro Avg,recall,0.5,baseline
23,Obs w/ 0 Dep Screener,Weighted Avg,recall,0.9560761346998536,baseline
24,All Obs,Depressed (No),f1-score,0.8998505231689088,baseline
25,All Obs,Depressed (Yes),f1-score,0.3649289099526066,baseline
26,All Obs,Macro Avg,f1-score,0.6323897165607577,baseline
27,All Obs,Weighted Avg,f1-score,0.8449424944397984,baseline
28,Obs w/ 1+ Dep Screener,Depressed (No),f1-score,0.8223880597014926,baseline
29,Obs w/ 1+ Dep Screener,Depressed (Yes),f1-score,0.3928571428571429,baseline
