,model,grouping,variable,value,context
30,Obs w/ 1+ Dep Screener,Macro Avg,f1-score,0.6359227192560526,best
31,Obs w/ 1+ Dep Screener,Weighted Avg,f1-score,0.7536233271917763,best
32,Obs w/ 0 Dep Screener,Depressed (No),f1-score,0.9649805447470817,best
33,Obs w/ 0 Dep Screener,Depressed (Yes),f1-score,0.1818181818181818,best
34,Obs w/ 0 Dep Screener,Macro Avg,f1-score,0.5733993632826317,best
35,Obs w/ 0 Dep Screener,Weighted Avg,f1-score,0.9299135732726533,best
36,All Obs,Depressed (No),support,1379.0,best
37,All Obs,Depressed (Yes),support,170.0,best
38,All Obs,Macro Avg,support,1549.0,best
39,All Obs,Weighted Avg,support,1549.0,best
40,Obs w/ 1+ Dep Screener,Depressed (No),support,739.0,best
41,Obs w/ 1+ Dep Screener,Depressed (Yes),support,140.0,best
42,Obs w/ 1+ Dep Screener,Macro Avg,support,879.0,best
43,Obs w/ 1+ Dep Screener,Weighted Avg,support,879.0,best
44,Obs w/ 0 Dep Screener,Depressed (No),support,640.0,best
45,Obs w/ 0 Dep Screener,Depressed (Yes),support,30.0,best
46,Obs w/ 0 Dep Screener,Macro Avg,support,670.0,best
47,Obs w/ 0 Dep Screener,Weighted Avg,support,670.0,best
48,All Obs,Depressed (No),accuracy,0.8108457069076824,best
49,All Obs,Depressed (Yes),accuracy,0.8108457069076824,best
50,All Obs,Macro Avg,accuracy,0.8108457069076824,best
51,All Obs,Weighted Avg,accuracy,0.8108457069076824,best
52,Obs w/ 1+ Dep Screener,Depressed (No),accuracy,0.7178612059158134,best
53,Obs w/ 1+ Dep Screener,Depressed (Yes),accuracy,0.7178612059158134,best
54,Obs w/ 1+ Dep Screener,Macro Avg,accuracy,0.7178612059158134,best
55,Obs w/ 1+ Dep Screener,Weighted Avg,accuracy,0.7178612059158134,best
56,Obs w/ 0 Dep Screener,Depressed (No),accuracy,0.9328358208955224,best
57,Obs w/ 0 Dep Screener,Depressed (Yes),accuracy,0.9328358208955224,best
58,Obs w/ 0 Dep Screener,Macro Avg,accuracy,0.9328358208955224,best
59,Obs w/ 0 Dep Screener,Weighted Avg,accuracy,0.9328358208955224,best
0,All Obs,Depressed (No),precision,0.9362363919129082,baseline
1,All Obs,Depressed (Yes),precision,0.29277566539923955,baseline
2,All Obs,Macro Avg,precision,0.6145060286560738,baseline
3,All Obs,Weighted Avg,precision,0.8701871630454626,baseline
4,Obs w/ 1+ Dep Screener,Depressed (No),precision,0.9137645107794361,baseline
5,Obs w/ 1+ Dep Screener,Depressed (Yes),precision,0.29277566539923955,baseline
6,Obs w/ 1+ Dep Screener,Macro Avg,precision,0.6032700880893378,baseline
7,Obs w/ 1+ Dep Screener,Weighted Avg,precision,0.8212615534422014,baseline
