,model,grouping,variable,value,context
0,All Obs,Depressed (No),precision,0.9544324772162386,best
1,All Obs,Depressed (Yes),precision,0.3362573099415205,best
2,All Obs,Macro Avg,precision,0.6453448935788795,best
3,All Obs,Weighted Avg,precision,0.8865888500782774,best
4,Obs w/ 1+ Dep Screener,Depressed (No),precision,0.940754039497307,best
5,Obs w/ 1+ Dep Screener,Depressed (Yes),precision,0.33229813664596275,best
6,Obs w/ 1+ Dep Screener,Macro Avg,precision,0.6365260880716348,best
7,Obs w/ 1+ Dep Screener,Weighted Avg,precision,0.8438441118531792,best
8,Obs w/ 0 Dep Screener,Depressed (No),precision,0.9661538461538461,best
9,Obs w/ 0 Dep Screener,Depressed (Yes),precision,0.4,best
10,Obs w/ 0 Dep Screener,Macro Avg,precision,0.6830769230769231,best
11,Obs w/ 0 Dep Screener,Weighted Avg,precision,0.9408036739380022,best
12,All Obs,Depressed (No),recall,0.8353879622915156,best
13,All Obs,Depressed (Yes),recall,0.6764705882352942,best
14,All Obs,Macro Avg,recall,0.7559292752634048,best
15,All Obs,Weighted Avg,recall,0.8179470626210459,best
16,Obs w/ 1+ Dep Screener,Depressed (No),recall,0.7090663058186739,best
17,Obs w/ 1+ Dep Screener,Depressed (Yes),recall,0.7642857142857142,best
18,Obs w/ 1+ Dep Screener,Macro Avg,recall,0.7366760100521941,best
19,Obs w/ 1+ Dep Screener,Weighted Avg,recall,0.7178612059158134,best
20,Obs w/ 0 Dep Screener,Depressed (No),recall,0.98125,best
21,Obs w/ 0 Dep Screener,Depressed (Yes),recall,0.26666666666666666,best
22,Obs w/ 0 Dep Screener,Macro Avg,recall,0.6239583333333333,best
23,Obs w/ 0 Dep Screener,Weighted Avg,recall,0.9492537313432836,best
24,All Obs,Depressed (No),f1-score,0.8909512761020881,best
25,All Obs,Depressed (Yes),f1-score,0.44921875,best
26,All Obs,Macro Avg,f1-score,0.6700850130510441,best
27,All Obs,Weighted Avg,f1-score,0.8424719155873335,best
28,Obs w/ 1+ Dep Screener,Depressed (No),f1-score,0.808641975308642,best
