,model,grouping,variable,value,context
42,Obs w/ 2+ Dep Screener,Macro Avg,support,879.0,best
43,Obs w/ 2+ Dep Screener,Weighted Avg,support,879.0,best
44,Obs w/ <2 Dep Screener,Depressed (No),support,640.0,best
45,Obs w/ <2 Dep Screener,Depressed (Yes),support,30.0,best
46,Obs w/ <2 Dep Screener,Macro Avg,support,670.0,best
47,Obs w/ <2 Dep Screener,Weighted Avg,support,670.0,best
48,All Obs,Depressed (No),accuracy,0.8263395739186572,best
49,All Obs,Depressed (Yes),accuracy,0.8263395739186572,best
50,All Obs,Macro Avg,accuracy,0.8263395739186572,best
51,All Obs,Weighted Avg,accuracy,0.8263395739186572,best
52,Obs w/ 2+ Dep Screener,Depressed (No),accuracy,0.7406143344709898,best
53,Obs w/ 2+ Dep Screener,Depressed (Yes),accuracy,0.7406143344709898,best
54,Obs w/ 2+ Dep Screener,Macro Avg,accuracy,0.7406143344709898,best
55,Obs w/ 2+ Dep Screener,Weighted Avg,accuracy,0.7406143344709898,best
56,Obs w/ <2 Dep Screener,Depressed (No),accuracy,0.9388059701492537,best
57,Obs w/ <2 Dep Screener,Depressed (Yes),accuracy,0.9388059701492537,best
58,Obs w/ <2 Dep Screener,Macro Avg,accuracy,0.9388059701492537,best
59,Obs w/ <2 Dep Screener,Weighted Avg,accuracy,0.9388059701492537,best
0,All Obs,Depressed (No),precision,0.9362363919129082,baseline
1,All Obs,Depressed (Yes),precision,0.29277566539923955,baseline
2,All Obs,Macro Avg,precision,0.6145060286560738,baseline
3,All Obs,Weighted Avg,precision,0.8701871630454626,baseline
4,Obs w/ 2+ Dep Screener,Depressed (No),precision,0.9137645107794361,baseline
5,Obs w/ 2+ Dep Screener,Depressed (Yes),precision,0.29277566539923955,baseline
6,Obs w/ 2+ Dep Screener,Macro Avg,precision,0.6032700880893378,baseline
7,Obs w/ 2+ Dep Screener,Weighted Avg,precision,0.8212615534422014,baseline
8,Obs w/ <2 Dep Screener,Depressed (No),precision,0.9560761346998536,baseline
9,Obs w/ <2 Dep Screener,Depressed (Yes),precision,0.0,baseline
10,Obs w/ <2 Dep Screener,Macro Avg,precision,0.4780380673499268,baseline
11,Obs w/ <2 Dep Screener,Weighted Avg,precision,0.9140815753426126,baseline
12,All Obs,Depressed (No),recall,0.8661870503597122,baseline
13,All Obs,Depressed (Yes),recall,0.48427672955974843,baseline
14,All Obs,Macro Avg,recall,0.6752318899597303,baseline
15,All Obs,Weighted Avg,recall,0.8269851517107811,baseline
16,Obs w/ 2+ Dep Screener,Depressed (No),recall,0.7476255088195387,baseline
17,Obs w/ 2+ Dep Screener,Depressed (Yes),recall,0.5968992248062015,baseline
18,Obs w/ 2+ Dep Screener,Macro Avg,recall,0.6722623668128701,baseline
19,Obs w/ 2+ Dep Screener,Weighted Avg,recall,0.7251732101616628,baseline
20,Obs w/ <2 Dep Screener,Depressed (No),recall,1.0,baseline
21,Obs w/ <2 Dep Screener,Depressed (Yes),recall,0.0,baseline
22,Obs w/ <2 Dep Screener,Macro Avg,recall,0.5,baseline
23,Obs w/ <2 Dep Screener,Weighted Avg,recall,0.9560761346998536,baseline
