little_interest_in_doing_things,feeling_down_depressed_hopeless,trouble_falling_or_staying_asleep,feeling_tired_or_having_little_energy,poor_appetitie_or_overeating,feeling_bad_about_yourself,trouble_concentrating,moving_or_speaking_to_slowly_or_fast,thoughts_you_would_be_better_off_dead,difficult_doing_daytoday_tasks,MDD,alcoholic_drinks_past_12mo,how_healthy_is_your_diet,has_diabetes,count_days_seen_doctor_12mo,has_overweight_diagnosis,count_days_moderate_recreational_activity,count_minutes_moderate_recreational_activity,count_minutes_moderate_sedentary_activity,count_days_physical_activity_youth,has_tried_to_lose_weight_12mo,has_ate_less_to_lose_weight,has_exercised_to_lose_weight,count_lost_10plus_pounds,count_tried_to_lose_weight_youth,has_been_pregnant,food_security_level_household,food_security_level_adult,has_health_insurance,has_health_insurance_gap,general_health_condition,duration_last_healthcare_visit,monthly_poverty_index,monthly_poverty_index_category,count_hours_worked_last_week,has_smoked_tabacco_last_5days,gender,age_in_years,education_level,is_usa_born
1,0.542287705082096,0.364539222440127,0.440779704201487,0.364934106256735,0.409163559555463,0.357133922469613,0.311608839866667,0.248788393387077,0.393904266001998,0.187162582990472,-0.0266573745480559,0.162294820482834,0.0619472816764407,0.140735690367652,0.0731955933526893,0.0130982146958827,0.0140363211750675,0.0381216921729806,,0.0135059656220151,,,0.0366383838288631,,0.0413097805654868,0.177565233410995,0.175725793336818,-0.0196640251977992,0.0584912206124167,0.251627335703211,-0.0534173267478705,-0.129838222672771,-0.121500239060651,-0.0312448914554175,0.109955038681303,0.0640495278200314,0.0134462329099377,-0.12061801217734,0.041645416232389
0.542287705082096,1,0.41800226239708,0.461177671484606,0.401859660664692,0.589816544786597,0.446675932064139,0.39217519978733,0.391403158835117,0.481027998337452,0.263432169721465,0.00912390670348885,0.1679714928191,0.0645712514315384,0.162819125533016,0.0907126732880353,-0.0136348603207324,0.0342760476458375,0.0286296026138428,,0.0334635762100729,,,0.0328396488608421,,0.0159838926973792,0.206793301362242,0.206328728032228,-0.0296058649923322,0.0562880398815934,0.242730074676049,-0.0303513157544827,-0.142881158634588,-0.132277940125427,-0.0459088051106279,0.115536320711091,0.0842113672351209,-0.0169773085645517,-0.103138941119931,0.0376542075809017
0.364539222440127,0.41800226239708,1,0.508976672373581,0.386697148323103,0.34391895506117,0.348149469514308,0.299629592917956,0.207607811514774,0.298251027071281,0.188100960674466,0.00118481172947508,0.165290633425723,0.0684016205674718,0.110208852155313,0.122468588184193,-0.0146725412660544,0.0199701611219768,0.0665882522051219,,0.0509370609916598,,,0.0496725577645819,,0.0109962466983079,0.152335135081183,0.156088498159792,0.00772224543180589,0.0461000062792342,0.230323564260383,0.00642870199559019,-0.104418843659078,-0.0846437603550475,-0.0598559609823995,0.105565517651815,0.0980286845439936,-0.00114663224281125,-0.0570122356584627,0.0903944531886868
0.440779704201487,0.461177671484606,0.508976672373581,1,0.439584884393191,0.376210024630821,0.371156834457155,0.308428012206208,0.21763424290505,0.350670857918938,0.204151487259045,0.00373753518764819,0.204217514712407,0.057881294726283,0.187452544498949,0.149744661399646,-0.0015415526188026,-0.0103435022332361,0.0867635788551184,,0.0665991611076279,,,0.0653835061971198,,0.0184781702564908,0.162248604447226,0.166193921315776,0.00286965965818806,0.0333269504152458,0.287755732486182,-0.0166967593133221,-0.103858139670471,-0.0843858814385757,-0.00879834645801885,0.0870779944679873,0.144546312139691,-0.00338456338235549,-0.0647640232754021,0.0994234107354259
0.364934106256735,0.401859660664692,0.386697148323103,0.439584884393191,1,0.366800005243827,0.348782921106726,0.318783685414275,0.217902333851516,0.306922277126865,0.18234585531437,0.0181454358322642,0.249656909095288,0.0417543399532396,0.11784132280422,0.145291218272025,0.0148551533489518,0.0219596119711238,0.0598631237858439,,0.0661887142937043,,,0.089560406358447,,0.0238505038541906,0.183606956738022,0.185163704365629,-0.0270521963401749,0.05933141362288,0.24060390228138,0.0195214885522629,-0.119317959888643,-0.108892312429827,-0.0314008562637662,0.0912710582559386,0.118014841325905,-0.0423535282653194,-0.0882604915065968,0.06371797013871
0.409163559555463,0.589816544786597,0.34391895506117,0.376210024630821,0.366800005243827,1,0.411780681464869,0.366158795402569,0.416588017659037,0.451299621209473,0.20505801531614,0.00976811576404192,0.160521656362572,0.0402276694525488,0.125285906800832,0.0725319107118037,0.0251538521652957,-0.00367529046605013,0.0500958004354073,,0.037783821934365,,,0.0278738497389286,,-0.0178908379540473,0.159429454795664,0.158110004420424,-0.0356368484037789,0.0536497713055954,0.187286767268361,-0.0598170525151681,-0.112684590520485,-0.107298148450247,-0.0345981172545115,0.101318008818646,0.0588126943850189,-0.0557569657679113,-0.0661099835447328,0.0599411010654013
0.357133922469613,0.446675932064139,0.348149469514308,0.371156834457155,0.348782921106726,0.411780681464869,1,0.376264849235531,0.26631686186508,0.426525607731649,0.186605515920144,-0.00109642258022689,0.121641940289005,0.0340657725772166,0.0538837221788811,0.0703844783913984,-0.0112194239882349,-0.00186014503002765,0.0323289218915184,,0.0273981547143827,,,0.0214279014860599,,0.00657232058473136,0.157029249147541,0.158585557681853,-0.0194752618753131,0.0538197983090779,0.189561195804511,0.00152580941137418,-0.0881535777396745,-0.0752088939699647,-0.00500743314250654,0.0777063457847082,0.0437694287194936,-0.0403008657155961,-0.0732425698439941,0.0418754450536066
0.311608839866667,0.39217519978733,0.299629592917956,0.308428012206208,0.318783685414275,0.366158795402569,0.376264849235531,1,0.281890928867878,0.374085991767997,0.114104978463063,-0.00621856742628215,0.0913017393254614,0.0623394005107554,0.0410632974478174,0.0437460294097907,0.0097217914187249,0.044570939660861,-0.0138844397770081,,0.00790862954414679,,,0.0145444757047172,,0.0252584132765797,0.154517328927945,0.157349594786983,-0.0452939982002901,0.0498295787086423,0.185621648963293,-0.0161255622201046,-0.135249624732118,-0.128757074683386,-0.0333976031183514,0.0915917163460114,0.0060435411653478,-0.0030432200388651,-0.105326084652722,0.0153251456363783
0.248788393387077,0.391403158835117,0.207607811514774,0.21763424290505,0.217902333851516,0.416588017659037,0.26631686186508,0.281890928867878,1,0.285389557746502,0.127465471177189,-0.00281439215866536,0.0860339870550845,0.035548609842275,0.0573521091937641,0.0211825776871877,0.0104745566682861,0.0365663820517558,0.000681383955509492,,0.0140582015872567,,,0.0233355410168876,,0.00763042079104547,0.0923683789509714,0.0930897723472686,-0.0252942699171877,0.0107579631319236,0.114574115365237,-0.0237059591652291,-0.0777019415750629,-0.0685857539393211,-0.0263215475991693,0.0639637843545966,-0.00397704995767708,-0.0122816837404607,-0.0659432472169571,0.0206681296410395
0.393904266001998,0.481027998337452,0.298251027071281,0.350670857918938,0.306922277126865,0.451299621209473,0.426525607731649,0.374085991767997,0.285389557746502,1,0.216616534481483,0.021957325999124,0.0952365625461557,0.0410896727960309,0.145320744518626,0.0747759984813579,-0.0054037540496963,0.0210993441208696,0.0371335166040831,,0.00929045699414796,,,0.023048823278958,,-0.00702022031266836,0.182986851545141,0.182963802702907,-0.012830418130387,0.0426531710757345,0.220131523940547,-0.0588232166996005,-0.140926730790685,-0.13435727431067,-0.0329976738777055,0.107036000638677,0.0456896925003346,-0.0183821948600918,-0.068399493099629,0.0340946301381271
